sample_name,sample_type,nucleotide_type,collection_date,collection_location,host_genus_species
RR034B_199_fecRa_S21,feces,RNA,2/18/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_200_fecRa_S23,feces,RNA,2/18/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_201_fecRa_S39,feces,RNA,2/18/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_202_fecRa_S41,feces,RNA,2/18/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_203_fecRa_S43,feces,RNA,2/18/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_204_fecRa_S45,feces,RNA,2/18/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_205_fecRa_S47,feces,RNA,2/18/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_206_fecRa_S49,feces,RNA,2/18/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_208_fecRa_S67,feces,RNA,2/18/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_210_fecRa_S71,feces,RNA,2/19/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_211_fecRa_S73,feces,RNA,2/19/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_213_fecRa_S79,feces,RNA,2/19/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_214_fecRa_S77,feces,RNA,2/19/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_215_fecRa_S95,feces,RNA,2/19/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_216_fecRa_S97,feces,RNA,2/19/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_217_fecRa_S99,feces,RNA,2/19/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_218_fecRa_S101,feces,RNA,2/19/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_220_fecRa_S103,feces,RNA,4/13/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_221_fecRa_S105,feces,RNA,4/13/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_223_fecRa_S1,feces,RNA,4/13/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_224_fecRa_S3,feces,RNA,4/13/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_225_fecRa_S5,feces,RNA,4/13/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_226_fecRa_S9,feces,RNA,4/13/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_227_fecRa_S107,feces,RNA,4/13/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_228_fecRa_S11,feces,RNA,4/13/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_229_fecRa_S13,feces,RNA,4/13/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_230_fecRa_S29,feces,RNA,4/13/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_231_fecRa_S31,feces,RNA,4/13/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_232_fecRa_S33,feces,RNA,4/14/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_233_fecRa_S35,feces,RNA,4/14/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_234_fecRa_S37,feces,RNA,4/14/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034A_235_fecRa_S39,feces,RNA,4/14/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_235_fecRb_S65,feces,RNA,4/14/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_236_fecRa_S41,feces,RNA,4/14/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_237_fecRa_S57,feces,RNA,4/14/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034A_239_fecRa_S61,feces,RNA,4/14/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_239_fecRb_S63,feces,RNA,4/14/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_242_fecRa_S67,feces,RNA,7/29/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_243_fecRa_S69,feces,RNA,7/29/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_244_fecRa_S85,feces,RNA,7/29/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_246_fecRa_S89,feces,RNA,7/29/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_247_fecRa_S91,feces,RNA,7/29/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_248_fecRa_S93,feces,RNA,7/29/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_249_fecRa_S95,feces,RNA,7/29/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_2500_fecRa_S8,feces,RNA,19-Aug,"Data, South Sulawesi, Indonesia",Not applicable
RR034B_250_fecRa_S97,feces,RNA,7/29/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_251_fecRa_S113,feces,RNA,7/29/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_252_fecRa_S115,feces,RNA,7/29/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_253_fecRa_S117,feces,RNA,7/29/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_254_fecRa_S119,feces,RNA,7/29/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_256_fecRa_S123,feces,RNA,7/29/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_257_fecRa_S125,feces,RNA,7/29/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_259_fecRa_S143,feces,RNA,7/29/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_260_fecRa_S145,feces,RNA,7/29/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_261_fecRa_S147,feces,RNA,7/29/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_262_fecRa_S149,feces,RNA,7/29/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_263_fecRa_S151,feces,RNA,7/29/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_264_fecRa_S153,feces,RNA,7/29/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
